timestamp_local,ZON_NORR,ZON_MITT,ZON_SYDVÄST,ZON_EXTERN,total_mw,temp_north,temp_mid,temp_south
2025-01-01 01:00:00,755.2,3238.2,790.4,1236.3,6020.1,-21.0,0.8,-1.6
2025-01-01 02:00:00,726.2,3160.4,780.6,1247.7,5914.9,-18.5,1.6,-3.6
2025-01-01 03:00:00,735.9,3237.7,774.1,1211.4,5959.1,-19.3,0.8,-2.8
2025-01-01 04:00:00,655.9,2876.3,703.4,1053.5,5289.1,-20.1,1.1,-3.3
2025-01-01 05:00:00,657.1,2940.0,699.1,1075.8,5372.0,-19.9,1.1,-2.4
2025-01-01 06:00:00,692.3,2979.6,746.7,1128.0,5546.6,-20.7,0.7,-4.6
2025-01-01 07:00:00,714.3,3083.3,740.6,1152.3,5690.5,-20.0,1.0,-2.9
2025-01-01 08:00:00,708.1,3172.8,752.4,1213.0,5846.3,-18.9,1.5,-2.3
2025-01-01 09:00:00,723.5,3105.6,776.1,1159.5,5764.7,-18.4,4.4,-1.0
2025-01-01 10:00:00,767.6,3527.0,876.2,1371.6,6542.4,-16.0,4.7,-0.5
2025-01-01 11:00:00,793.7,3607.4,885.7,1303.5,6590.3,-17.7,4.0,-0.3
2025-01-01 12:00:00,773.9,3485.9,865.8,1290.3,6415.9,-16.4,5.9,0.2
2025-01-01 13:00:00,745.9,3439.7,834.1,,5019.7,-16.1,6.0,0.5
2025-01-01 14:00:00,714.3,3228.7,784.1,1221.2,5948.3,-14.4,5.8,2.4
2025-01-01 15:00:00,704.6,3169.3,773.5,1170.6,5818.0,-14.6,6.3,3.6
2025-01-01 16:00:00,698.1,3104.2,749.9,1191.7,5743.9,-13.8,6.0,3.0
2025-01-01 17:00:00,698.3,3086.0,751.4,1156.9,5692.6,-14.5,6.2,2.5
2025-01-01 18:00:00,692.5,3072.9,747.6,1144.7,5657.7,-14.7,6.4,2.3
2025-01-01 19:00:00,747.6,3450.6,841.7,1252.6,6292.5,-14.3,7.4,0.2
2025-01-01 20:00:00,749.1,3388.8,830.1,1301.1,6269.1,-14.8,6.3,2.2
2025-01-01 21:00:00,749.0,3460.2,856.1,1266.7,6332.0,-16.4,3.7,0.5
2025-01-01 22:00:00,738.3,3403.0,810.2,1276.1,6227.6,-16.4,4.3,-0.3
2025-01-01 23:00:00,727.4,3421.7,782.0,1276.2,6207.3,-17.7,1.1,-0.6
2025-01-02 00:00:00,745.9,3357.9,795.1,1168.1,6067.0,-18.7,2.7,-2.1
2025-01-02 01:00:00,729.2,3283.6,793.9,1223.3,6030.0,-19.5,1.0,-3.0
2025-01-02 02:00:00,737.2,3197.3,780.4,1253.8,5968.7,-19.3,0.7,-1.9
2025-01-02 03:00:00,726.9,3283.3,826.1,1224.3,6060.6,-19.4,1.8,-4.2
2025-01-02 04:00:00,648.0,2887.8,689.6,1083.1,5308.5,-19.9,0.8,-1.9
2025-01-02 05:00:00,657.5,2864.1,703.6,1066.6,5291.8,-19.1,1.7,-2.7
2025-01-02 06:00:00,673.1,2976.2,720.9,1119.5,5489.7,-19.4,0.4,-2.6
2025-01-02 07:00:00,693.6,2999.9,747.9,1150.3,5591.7,-19.9,2.6,-2.6
2025-01-02 08:00:00,706.5,3069.8,750.3,1165.5,5692.1,-18.6,2.5,-1.2
2025-01-02 09:00:00,710.2,3054.3,787.5,1186.2,5738.2,-17.6,2.6,-1.9
2025-01-02 10:00:00,776.4,3539.9,905.1,1421.0,6642.4,-16.6,3.7,-1.0
2025-01-02 11:00:00,757.6,3719.4,888.2,1352.8,6718.0,-14.9,3.0,-1.2
